price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,size,type,paint_color,state
8500,2005,ford,mustang convertible,excellent,6 cylinders,gas,62800,clean,automatic,mid-size,convertible,silver,me
3200,1998,volkswagen,bug,good,4 cylinders,gas,98186,clean,manual,sub-compact,coupe,blue,mt
26500,2011,bmw,"m3 manual transmission, exc",,8 cylinders,gas,54595,rebuilt,manual,,coupe,,or
12000,1988,chevrolet,corvette coupe,good,8 cylinders,gas,,clean,automatic,full-size,coupe,white,me
1800,2001,honda,civic,good,4 cylinders,gas,188000,clean,automatic,compact,coupe,white,fl
6200,2012,honda,crz,good,4 cylinders,gas,62300,clean,automatic,,coupe,red,wi
11995,2016,hyundai,veloster,,,gas,42943,clean,automatic,compact,coupe,black,fl
8000,1976,mini,,excellent,4 cylinders,gas,,clean,manual,sub-compact,coupe,green,fl
37800,1996,nissan,240sx,good,8 cylinders,gas,213000,clean,automatic,mid-size,coupe,blue,fl
16000,2014,audi,a5 premium plus - coupe 2dr,good,4 cylinders,gas,48000,clean,automatic,compact,coupe,grey,fl
17990,2016,honda,accord coupe,,,gas,22710,clean,automatic,,coupe,,or
17995,2019,mini,cooper convertible s,like new,,gas,,clean,automatic,mid-size,convertible,grey,fl
6995,1978,chevrolet,corvette,excellent,8 cylinders,gas,68801,clean,automatic,,coupe,silver,az
13495,2012,bmw,335is m-package,like new,6 cylinders,gas,,clean,automatic,mid-size,convertible,white,fl
21995,2013,ford,mustang,,,gas,70144,clean,manual,sub-compact,coupe,green,fl
62000,2017,chevrolet,corvette zo6,like new,,gas,13150,clean,automatic,,coupe,white,az
13495,2012,audi,s5 convertible,like new,6 cylinders,gas,,clean,automatic,mid-size,convertible,white,fl
6495,2008,mercedes-benz,slk350,like new,6 cylinders,gas,,clean,automatic,mid-size,convertible,black,fl
17495,2009,mercedes-benz,cl-class cl63 amg,like new,8 cylinders,gas,,clean,automatic,mid-size,coupe,silver,fl
9610,2012,honda,accord ex-l v6 coupe,excellent,6 cylinders,gas,136740,clean,manual,full-size,coupe,grey,me
4500,2009,ford,mustang,excellent,6 cylinders,gas,94614,rebuilt,automatic,,coupe,blue,fl
39500,2014,chevrolet,corvette,excellent,other,gas,27000,clean,automatic,full-size,coupe,red,me
8990,2010,audi,a5 2.0t quattro premium,like new,4 cylinders,gas,69000,clean,automatic,,convertible,white,fl
46495,2018,mercedes-benz,benz c43 amg,like new,6 cylinders,gas,,clean,automatic,mid-size,convertible,black,fl
4600,2012,toyota,camry,good,4 cylinders,gas,107500,clean,automatic,,coupe,black,az
0,2003,ford,thunderbird,excellent,,gas,90310,clean,automatic,,convertible,,or
59500,2015,,porsche 911,like new,,gas,22076,clean,other,full-size,convertible,black,fl
18977,2014,audi,s5 coupe,,6 cylinders,gas,83296,clean,automatic,,coupe,silver,fl
8499,2013,bmw,328i convertible,like new,,gas,,clean,automatic,full-size,convertible,black,fl
9000,2015,mini,cooper s,like new,,gas,,clean,automatic,,coupe,grey,fl
7900,2016,mercedes-benz,benz c250,like new,,gas,,clean,automatic,compact,coupe,black,fl
4300,2007,ford,mustang convertible,good,6 cylinders,gas,139500,clean,automatic,,convertible,red,al
9998,2013,honda,civic,,4 cylinders,gas,102118,clean,other,,coupe,red,or
9700,2014,chevrolet,cruze,excellent,4 cylinders,gas,61000,clean,automatic,sub-compact,coupe,red,mt
35000,1957,chevrolet,bel air,excellent,8 cylinders,gas,4200,clean,automatic,full-size,coupe,blue,az
93000,2017,mercedes-benz,s-class,,8 cylinders,gas,11565,clean,automatic,mid-size,coupe,black,az
29500,2009,,Maserati GranTurismo,,8 cylinders,gas,30480,clean,automatic,mid-size,coupe,white,az
800,2004,bmw,325ci,fair,6 cylinders,gas,130000,clean,automatic,sub-compact,coupe,black,az
6900,1987,chevrolet,corvette,excellent,8 cylinders,gas,31125,clean,automatic,compact,convertible,silver,or
3550,2007,chevrolet,cobalt,,4 cylinders,gas,153814,clean,automatic,,coupe,silver,al
12995,2014,bmw,4 series,excellent,4 cylinders,gas,84676,clean,automatic,compact,coupe,blue,tx
10900,2007,jaguar,xk convertible,excellent,8 cylinders,gas,75000,clean,automatic,full-size,convertible,grey,al
24790,2014,cadillac,elr coupe 2d,good,,electric,21524,clean,other,,coupe,red,al
24490,2018,chevrolet,camaro lt coupe 2d,good,,gas,3455,clean,other,,coupe,silver,al
1900,2002,honda,civic ex,fair,4 cylinders,gas,195000,clean,automatic,,coupe,red,al
28700,2016,ford,mustang gt premium coupe 2d,good,8 cylinders,gas,9844,clean,other,,coupe,white,al
